pid,circle,map,line,area,bar,net,point,diagram,matrix,table,word,class,path
1,0.00041123,8.77E-05,0.000520022,0.993974825,0.002448217,6.55E-06,0.002368918,8.83E-05,4.16E-05,1.91E-06,5.08E-05,area,./static/data2vis_imdb/0.png
2,0.000337132,1.31E-05,4.29E-05,0.998873073,0.0007207,6.52E-09,2.70E-06,2.51E-06,2.32E-06,4.81E-08,5.53E-06,area,./static/data2vis_imdb/1.png
3,0.001663341,0.000394238,0.00031147,0.001127989,0.945189335,0.000234832,0.000486475,0.000351686,0.049866441,0.000112632,0.000261543,bar,./static/data2vis_imdb/2.png
4,0.018821608,0.003333992,0.00823713,0.005676582,0.12977338,0.02176414,0.736699617,0.017175822,0.010317982,0.042643027,0.005556728,point,./static/data2vis_imdb/3.png
5,0.000606891,2.66E-05,0.000160286,0.00026843,0.994576038,5.66E-05,5.67E-05,2.37E-05,0.004020336,0.000109012,9.54E-05,bar,./static/data2vis_imdb/4.png
6,0.00060533,2.55E-05,0.000156703,0.000262556,0.994922533,5.49E-05,5.87E-05,2.25E-05,0.003695404,0.00010569,9.02E-05,bar,./static/data2vis_imdb/5.png
7,0.000546339,2.31E-05,0.000142326,0.000233101,0.995617835,4.75E-05,5.35E-05,1.98E-05,0.003145139,9.18E-05,7.95E-05,bar,./static/data2vis_imdb/6.png
8,0.000606891,2.66E-05,0.000160286,0.00026843,0.994576038,5.66E-05,5.67E-05,2.37E-05,0.004020336,0.000109012,9.54E-05,bar,./static/data2vis_imdb/7.png
9,0.003436946,0.000129281,0.0004729,0.001869595,0.97398521,5.45E-05,5.56E-05,7.06E-05,0.019165408,0.000435337,0.000324509,bar,./static/data2vis_imdb/8.png
10,0.002657976,4.29E-05,0.000318915,0.02272111,0.89419883,5.97E-05,3.93E-05,8.70E-05,0.078960082,0.000379071,0.000535202,bar,./static/data2vis_imdb/9.png
11,0.000112296,9.36E-06,9.26E-06,0.000229684,0.99334435,3.88E-06,2.92E-06,6.91E-06,0.006239724,2.06E-05,2.10E-05,bar,./static/data2vis_imdb/10.png
12,0.015097663,0.000232314,0.001634263,0.006909515,0.906180365,9.73E-05,0.000166318,6.02E-05,0.068267049,0.00091458,0.000440397,bar,./static/data2vis_imdb/11.png
13,0.003423516,0.000128882,0.000472191,0.001866497,0.974132253,5.45E-05,5.55E-05,7.05E-05,0.01903737,0.000434543,0.000324112,bar,./static/data2vis_imdb/12.png
14,0.003433776,0.000129208,0.000473056,0.001869565,0.974065665,5.45E-05,5.56E-05,7.07E-05,0.019087815,0.000435014,0.000325035,bar,./static/data2vis_imdb/13.png
15,0.001985061,0.000170129,0.000262213,9.57E-05,0.249603496,0.001839292,0.742310715,0.00070617,0.002815952,9.08E-05,0.00012052,point,./static/data2vis_imdb/14.png
16,0.003423516,0.000128882,0.000472191,0.001866497,0.974132253,5.45E-05,5.55E-05,7.05E-05,0.01903737,0.000434543,0.000324112,bar,./static/data2vis_imdb/15.png
17,0.003423516,0.000128882,0.000472191,0.001866497,0.974132253,5.45E-05,5.55E-05,7.05E-05,0.01903737,0.000434543,0.000324112,bar,./static/data2vis_imdb/16.png
18,0.004681226,0.000396686,0.000990141,0.000770377,0.989084568,8.16E-05,7.51E-05,0.000675523,0.00193371,0.000212648,0.001098417,bar,./static/data2vis_imdb/17.png
