pid,circle,map,line,area,bar,net,point,diagram,matrix,table,word,class,path
1,0.005501595,0.004834464,0.463303138,0.009836541,0.069508944,0.066744879,0.059571503,0.109334948,0.109124455,0.098004065,0.004235464,line,./static/imdb_vis30k/0.png
2,2.02E-05,2.15E-07,1.46E-05,4.50E-05,1.84E-05,1.91E-05,3.14E-06,6.11E-06,8.45E-06,0.999863283,1.38E-06,table,./static/imdb_vis30k/1.png
3,0.000346294,0.576786641,0.030882898,0.003454851,0.001343666,0.018404943,0.000319162,0.042604077,0.320153396,0.000105415,0.00559866,map,./static/imdb_vis30k/2.png
4,0.00616487,1.65E-05,0.890225126,0.017177123,0.006339228,0.000163146,0.003681317,0.072463298,7.95E-05,0.002590366,0.001099477,line,./static/imdb_vis30k/3.png
5,0.93493478,0.003778859,2.12E-05,0.000182184,5.85E-05,0.005010519,0.000930558,0.049620164,0.005406465,5.16E-06,5.16E-05,circle,./static/imdb_vis30k/4.png
6,0.000306642,5.83E-06,7.97E-05,0.000226305,0.000106053,0.00015088,8.82E-05,0.006070508,0.001195094,0.991663703,0.000107071,table,./static/imdb_vis30k/5.png
7,0.048504272,0.014800073,0.017483164,0.003336431,0.449781953,0.016850761,0.07915987,0.27802293,0.078086552,0.003971281,0.010002692,bar,./static/imdb_vis30k/6.png
8,0.015592635,0.030124929,0.003982644,0.008324528,0.063248339,0.004958638,0.009193884,0.013236628,0.841085454,0.007242497,0.003009847,matrix,./static/imdb_vis30k/7.png
9,2.01E-05,3.59E-07,8.91E-06,3.47E-05,1.63E-05,4.94E-06,8.85E-06,9.10E-05,6.22E-05,0.999745049,7.53E-06,table,./static/imdb_vis30k/8.png
10,0.002169021,0.004672316,0.001303292,0.001312932,0.001251229,0.001374044,0.001057304,0.982626591,0.001689149,0.002245403,0.00029875,diagram,./static/imdb_vis30k/9.png
11,0.04106532,0.001069966,0.000185757,0.000279968,0.005200778,0.003207978,0.008255276,0.011255655,0.929108189,0.000139827,0.000231386,matrix,./static/imdb_vis30k/10.png
12,0.11605591,0.000676345,0.425588304,0.005010337,0.002029759,0.02425579,0.002391707,0.394082487,0.001078277,0.002302905,0.026528201,line,./static/imdb_vis30k/11.png
13,9.08E-05,0.000151669,4.27E-05,0.000114302,4.52E-05,0.004376454,0.000245102,0.60339459,0.391253649,0.000202106,8.34E-05,diagram,./static/imdb_vis30k/12.png
14,0.098123969,0.001680816,0.013054346,0.000324923,0.000714804,0.732401545,0.118984231,0.019927238,0.011159854,0.000171032,0.00345724,net,./static/imdb_vis30k/13.png
15,3.71E-05,4.85E-07,0.000267218,2.62E-05,0.987300657,5.12E-06,3.06E-05,0.012316407,7.52E-06,6.82E-07,8.02E-06,bar,./static/imdb_vis30k/14.png
16,4.89E-06,2.53E-06,9.52E-07,1.47E-06,0.999171361,4.45E-07,4.25E-07,3.99E-07,0.000811875,1.12E-06,4.48E-06,bar,./static/imdb_vis30k/15.png
17,0.000201464,9.66E-06,0.000275342,0.000627691,0.000390072,0.000201767,0.00023777,0.000380945,5.80E-05,0.99758247,3.48E-05,table,./static/imdb_vis30k/16.png
